year,site,block,time,group_id,Ew,M1,M2,M3,M4,M5
1990,KEYSBROOK (DELBORELLO),A,130,1,63,0.3,1,1.6,3.3,9.1
1990,KEYSBROOK (DELBORELLO),A,135,1,56,1.8,2.2,0.4,2.7,18
1990,KEYSBROOK (DELBORELLO),A,143,1,188.5,17.7,5.9,2.9,4.2,18.5
1990,KEYSBROOK (DELBORELLO),A,150,1,326.5,47.9,31.5,9.6,7.7,22.3
1990,KEYSBROOK (DELBORELLO),A,157,1,404.5,30.8,111.5,40.3,8.6,23.1
1990,KEYSBROOK (DELBORELLO),A,171,1,255,38.7,49.3,60.8,30.3,71.5
1990,KEYSBROOK (DELBORELLO),A,178,1,116,34.3,89.8,59.3,41.7,81.4
1990,KEYSBROOK (DELBORELLO),A,185,1,73.5,8.3,36.5,46.4,50.4,69.7
1990,KEYSBROOK (DELBORELLO),A,192,1,3,34.2,62.6,79.6,65.3,27.9
1990,KEYSBROOK (DELBORELLO),A,199,1,43.5,100.1,72.6,45.3,51.8,18.8
1990,KEYSBROOK (DELBORELLO),A,206,1,8,78.6,56.2,19.2,9.5,1.6
1990,KEYSBROOK (DELBORELLO),A,213,1,11.5,64.2,29,12.1,6.1,5.7
1990,KEYSBROOK (DELBORELLO),A,220,1,10,9.6,81.6,8.2,3.4,7.6
1990,KEYSBROOK (DELBORELLO),A,227,1,6.5,4.3,37.8,30.6,2.2,4.8
1990,KEYSBROOK (DELBORELLO),A,234,1,9.5,4.5,14.8,27.2,16.8,6.7
1990,KEYSBROOK (DELBORELLO),A,241,1,13,6.5,13.8,17.3,19.3,3.6
1990,KEYSBROOK (DELBORELLO),A,248,1,219,14.6,9.3,8.5,15.6,14.1
1990,KEYSBROOK (DELBORELLO),A,255,1,54,26.5,24.7,8.3,6.7,4.4
1990,KEYSBROOK (DELBORELLO),A,256,1,22,33.3,107.7,91.6,24.5,35.4
1990,KEYSBROOK (DELBORELLO),A,262,1,27.5,10.9,84.3,18.7,11.6,6.8
1990,KEYSBROOK (DELBORELLO),A,269,1,29,4.2,120.9,58.4,8.3,4.5
1990,KEYSBROOK (DELBORELLO),A,276,1,6.5,1.1,24.5,53.4,57,30.8
1990,KEYSBROOK (DELBORELLO),A,283,1,11,1.4,10.9,27.9,83.9,44.8
1990,KEYSBROOK (DELBORELLO),A,290,1,6.5,0.1,2.5,6,28.4,55.2
1990,KEYSBROOK (DELBORELLO),A,297,1,0,0,5.9,11.3,27.3,72
1990,KEYSBROOK (DELBORELLO),A,304,1,0,0,0,0.7,2,11.3
1990,KEYSBROOK (DELBORELLO),A,311,1,NA,0,0,0,0,0.3
1990,KEYSBROOK (DELBORELLO),A,318,1,NA,0,0,0,0,0.7
1990,KEYSBROOK (DELBORELLO),B,130,2,45.5,0.1,0.5,1.7,5.1,5.4
1990,KEYSBROOK (DELBORELLO),B,135,2,87,1.4,3.3,2.1,3.5,16.3
1990,KEYSBROOK (DELBORELLO),B,143,2,429.5,34.7,8.9,8.3,4.8,22.6
1990,KEYSBROOK (DELBORELLO),B,150,2,1024,71.5,49.8,18.6,10.6,42.5
1990,KEYSBROOK (DELBORELLO),B,157,2,865,23.3,116.7,39.9,5.5,22.6
1990,KEYSBROOK (DELBORELLO),B,171,2,125.5,37.6,81.1,75.6,44.7,78.2
1990,KEYSBROOK (DELBORELLO),B,178,2,739.5,62.9,114.5,62.8,44.8,58.4
1990,KEYSBROOK (DELBORELLO),B,185,2,81.5,10.6,37.7,36.7,30.9,26.1
1990,KEYSBROOK (DELBORELLO),B,192,2,149.5,14.7,49.3,61.3,67.6,24.4
1990,KEYSBROOK (DELBORELLO),B,199,2,128.5,107.2,54.9,44.4,40.5,11.2
1990,KEYSBROOK (DELBORELLO),B,206,2,4,57.3,67.6,29.2,20.1,4.4
1990,KEYSBROOK (DELBORELLO),B,213,2,11,77.4,19.4,12.9,4,6.8
1990,KEYSBROOK (DELBORELLO),B,220,2,10.5,6.4,83.2,9.3,3.9,8.9
1990,KEYSBROOK (DELBORELLO),B,227,2,19,2.1,31.8,30.3,3.3,4
1990,KEYSBROOK (DELBORELLO),B,234,2,0.5,2.9,12.3,32.5,24.8,8.9
1990,KEYSBROOK (DELBORELLO),B,241,2,49.5,2.9,13.7,20.6,15.8,2.3
1990,KEYSBROOK (DELBORELLO),B,248,2,20,13.2,15.1,8.4,5.4,7.6
1990,KEYSBROOK (DELBORELLO),B,255,2,45.5,38.5,39.4,9.8,6,4.7
1990,KEYSBROOK (DELBORELLO),B,256,2,140,34.1,72.9,53.8,13.3,26.3
1990,KEYSBROOK (DELBORELLO),B,262,2,6,6.2,63,10.8,9.7,5.2
1990,KEYSBROOK (DELBORELLO),B,269,2,22.5,7.6,112.5,44.3,7.9,4.2
1990,KEYSBROOK (DELBORELLO),B,276,2,1.5,1,14.8,47.1,63.5,31.4
1990,KEYSBROOK (DELBORELLO),B,283,2,24.5,0.5,14.3,19.8,61.7,57.3
1990,KEYSBROOK (DELBORELLO),B,290,2,2.5,0,3.1,9.4,30.8,74.5
1990,KEYSBROOK (DELBORELLO),B,297,2,0,0.1,1.1,4.6,18.1,54.6
1990,KEYSBROOK (DELBORELLO),B,304,2,0,0,0,2.9,6.4,21.5
1990,KEYSBROOK (DELBORELLO),B,311,2,NA,0,0,0,0,5.2
1990,KEYSBROOK (DELBORELLO),B,318,2,NA,0,0,0,0,0
1990,KEYSBROOK (DELBORELLO),C,130,3,122.5,0.3,0.8,2.7,6.6,11.9
1990,KEYSBROOK (DELBORELLO),C,135,3,518,1.9,5.7,2.3,1.8,20.7
1990,KEYSBROOK (DELBORELLO),C,143,3,877,15.8,3.9,2.5,2.1,13.7
1990,KEYSBROOK (DELBORELLO),C,150,3,661,88.6,66.6,13.8,5,32.9
1990,KEYSBROOK (DELBORELLO),C,157,3,78,23.9,163,55,8.8,24.1
1990,KEYSBROOK (DELBORELLO),C,171,3,56.5,36.3,109.9,85.5,23.8,42.9
1990,KEYSBROOK (DELBORELLO),C,178,3,424,26.2,81.3,65.9,53.1,111.6
1990,KEYSBROOK (DELBORELLO),C,185,3,286.5,15.1,52.9,50,46.4,30.1
1990,KEYSBROOK (DELBORELLO),C,192,3,93.5,9.9,36.4,35.5,42.2,11.5
1990,KEYSBROOK (DELBORELLO),C,199,3,71,71.2,59.3,47.1,40.8,13.2
1990,KEYSBROOK (DELBORELLO),C,206,3,7,49.5,52.7,23.1,13.4,3.9
1990,KEYSBROOK (DELBORELLO),C,213,3,3.5,65.9,19.6,11.8,6.1,7.4
1990,KEYSBROOK (DELBORELLO),C,220,3,7.5,5.1,49.5,4.6,1.4,3
1990,KEYSBROOK (DELBORELLO),C,227,3,1.5,1.4,28,24.4,2.7,2.9
1990,KEYSBROOK (DELBORELLO),C,234,3,14,1.3,16,41.8,26.9,8.6
1990,KEYSBROOK (DELBORELLO),C,241,3,42,4.2,15.2,40,21.2,3.4
1990,KEYSBROOK (DELBORELLO),C,248,3,8,4.7,7.1,7,7,5.8
1990,KEYSBROOK (DELBORELLO),C,255,3,40.5,13.1,6.7,4.4,2.6,3.8
1990,KEYSBROOK (DELBORELLO),C,256,3,19,34.2,102.1,98.6,30.3,31.7
1990,KEYSBROOK (DELBORELLO),C,262,3,54.5,3.9,47.2,14.5,10.8,5.8
1990,KEYSBROOK (DELBORELLO),C,269,3,41,1.8,60.3,34.3,7.2,5.3
1990,KEYSBROOK (DELBORELLO),C,276,3,13.5,0.7,21.4,42.2,59.2,15.4
1990,KEYSBROOK (DELBORELLO),C,283,3,3,0.1,3.8,18.5,65.8,37
1990,KEYSBROOK (DELBORELLO),C,290,3,0.5,0.1,2.3,5.3,15.5,36.5
